"adj_rand" "est" "T" "seed"
1 "Medv." 0.9 2020
1 "Medv." 0.95 2020
1 "Medv." 1 2020
1 "Medv." 0.05 2021
1 "Medv." 0.1 2021
1 "Medv." 0.15 2021
1 "Medv." 0.2 2021
1 "Medv." 0.25 2021
1 "Medv." 0.3 2021
1 "Medv." 0.35 2021
1 "Medv." 0.4 2021
1 "Medv." 0.45 2021
1 "Medv." 0.5 2021
1 "Medv." 0.55 2021
1 "Medv." 0.6 2021
1 "Medv." 0.65 2021
1 "Medv." 0.7 2021
1 "Medv." 0.75 2021
1 "Medv." 0.8 2021
1 "Medv." 0.85 2021
1 "Medv." 0.9 2021
1 "Medv." 0.95 2021
1 "Medv." 1 2021
1 "Medv." 0.05 2022
0.905660377358491 "Medv." 0.1 2022
1 "Medv." 0.15 2022
1 "Medv." 0.2 2022
1 "Medv." 0.25 2022
1 "Medv." 0.3 2022
1 "Medv." 0.35 2022
1 "Medv." 0.4 2022
1 "Medv." 0.45 2022
1 "Medv." 0.5 2022
1 "Medv." 0.55 2022
1 "Medv." 0.6 2022
1 "Medv." 0.65 2022
1 "Medv." 0.7 2022
1 "Medv." 0.75 2022
1 "Medv." 0.8 2022
1 "Medv." 0.85 2022
1 "Medv." 0.9 2022
1 "Medv." 0.95 2022
1 "Medv." 1 2022
1 "Medv." 0.05 2023
1 "Medv." 0.1 2023
1 "Medv." 0.15 2023
1 "Medv." 0.2 2023
1 "Medv." 0.25 2023
1 "Medv." 0.3 2023
1 "Medv." 0.35 2023
1 "Medv." 0.4 2023
1 "Medv." 0.45 2023
1 "Medv." 0.5 2023
1 "Medv." 0.55 2023
1 "Medv." 0.6 2023
1 "Medv." 0.65 2023
1 "Medv." 0.7 2023
1 "Medv." 0.75 2023
1 "Medv." 0.8 2023
1 "Medv." 0.85 2023
1 "Medv." 0.9 2023
1 "Medv." 0.95 2023
1 "Medv." 1 2023
0.73928157589803 "MAP" 0.05 2026
0.73928157589803 "MAP" 0.1 2026
1 "MAP" 0.15 2026
1 "MAP" 0.2 2026
1 "MAP" 0.25 2026
1 "MAP" 0.3 2026
1 "MAP" 0.35 2026
1 "MAP" 0.4 2026
1 "MAP" 0.45 2026
1 "MAP" 0.5 2026
1 "MAP" 0.55 2026
1 "MAP" 0.6 2026
1 "MAP" 0.65 2026
1 "MAP" 0.7 2026
1 "MAP" 0.75 2026
1 "MAP" 0.8 2026
